10993835;DM Implantável Ativo (DMIA);Boston Scientific Corporation;282;ENDOTAK RELIANCE;BOSTON SCIENTIFIC;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";Boston Scientific Portugal - Dispositivos Médicos, Lda.
10993843;DM Implantável Ativo (DMIA);Boston Scientific Corporation;S209;S209;ALTRUA 20;Pacemaker de dupla câmara (DC) (J01010301);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca. Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10993983;DM Implantável Ativo (DMIA);St. Jude Medical - Cardiac Rhythm Management Division | Abbott Medical;CD3215 36;PROMOTE ACCEL;St Jude Medical;Desfibrilhadores de tripla câmara com sensor (J01050301);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por três electrocateteres com sensor (localizados em três compartimentos do coração) com função de detecção de arritmias potencialmente letais e estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;ABBOTT MEDICAL (PORTUGAL) - DISTRIBUIÇÃO DE PRODUTOS MÉDICOS, LDA
10994076;DM Implantável Ativo (DMIA);Cameron Health Inc.;1010EU;SQ RX Pulse Generator;Cameron Health;Desfibrilhadores - outros (J010599);Dispositivos médicos implantáveis activos que detectam graves alterações do ritmo cardíaco (especialmente taquiarritmias ventriculares) e e emitem uma descarga eléctrica para restabelecer o ritmo cardíaco normal.  São desfibrilhadores implantáveis que não têm colocação em ramos terminais específicos.;SETFARMA - DISTRIBUIÇÃO E COMERCIALIZAÇÃO PRODUTOS DE SAÚDE  LDA.
10994238;DM Implantável Ativo (DMIA);SORIN BIOMEDICA CARDIO, S.r.l.;JR5CM;BEFLEX RF45D;SORIN;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";MICROPORT CRM PORTUGAL, LDA
10994246;DM;St Jude Medical Coordination Center BVBA | Abbott Medical;405128;SJM;ST. JUDE MEDICAL;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MICROPORT CRM PORTUGAL, LDA
10994254;DM;St Jude Medical Coordination Center BVBA | Abbott Medical;405124;SJM;ST. JUDE MEDICAL;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MICROPORT CRM PORTUGAL, LDA
10994262;DM;St Jude Medical Coordination Center BVBA | Abbott Medical;405118;SJM;ST. JUDE MEDICAL;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MICROPORT CRM PORTUGAL, LDA
10994270;DM Implantável Ativo (DMIA);Medtronic Inc. ;EN1DR01;ENSURA DR MRI;Medtronic;Pacemaker de dupla câmara com sensor (DR) (J01010302);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca.  Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.  A função de pacing  é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10994289;DM Implantável Ativo (DMIA);Medtronic Inc. ;ADSR06;ADAPTA  ADSR06;Medtronic;Pacemaker de câmara única com sensor (SR) (J01010102);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca. Utilizam apenas um eléctrodo transvenoso com sensor colocado na câmara superior direita (aurícula direita) ou na câmara inferior direita (ventrículo direito) do coração para veicular o sinal e efectuar a estimulação a uma frequência variável, dependendo das medições dos parâmetros fisiológicos efectuadas pelo sensor.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10994297;DM Implantável Ativo (DMIA);Boston Scientific Corporation;P165;INCEPTA;BOSTON SCIENTIFIC;Desfibrilhadores de tripla câmara com sensor (J01050301);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por três electrocateteres com sensor (localizados em três compartimentos do coração) com função de detecção de arritmias potencialmente letais e estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10994300;DM Implantável Ativo (DMIA);Boston Scientific Corporation;F160;INCEPTA;BOSTON SCIENTIFIC;Desfibrilhadores de câmara única com sensor (J01050101);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilhação auricular ou ventricular. Tem a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por um só electrocateter com sensor (localizado na aurícula ou ventrículo direitos) com função de detecção de arritmias e de estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10994319;DM Implantável Ativo (DMIA);Medtronic Inc. ;4965-25;Capsute EPI;Medtronic;Electrocateteres epicárdicos para estimulação cardíaca permanente (J0190010105);Dispositivos estérieis utilizados para estabelecer a ligação eléctrica permanente de um pacemaker à superfície externa do músculo cardíaco. Transmitem ao coração o impulso estimulante proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os dispositivos descritos são de uso único.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10994327;DM Implantável Ativo (DMIA);Medtronic Inc. ;4965-35;Capsute EPI;Medtronic;Electrocateteres epicárdicos para estimulação cardíaca permanente (J0190010105);Dispositivos estérieis utilizados para estabelecer a ligação eléctrica permanente de um pacemaker à superfície externa do músculo cardíaco. Transmitem ao coração o impulso estimulante proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os dispositivos descritos são de uso único.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10994335;DM Implantável Ativo (DMIA);Medtronic Inc. ;4968-60;Capsute EPI;Medtronic;Electrocateteres epicárdicos para estimulação cardíaca permanente (J0190010105);Dispositivos estérieis utilizados para estabelecer a ligação eléctrica permanente de um pacemaker à superfície externa do músculo cardíaco. Transmitem ao coração o impulso estimulante proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os dispositivos descritos são de uso único.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10994343;DM Implantável Ativo (DMIA);Medtronic Inc. ;4968-35;Capsute EPI;Medtronic;Electrocateteres epicárdicos para estimulação cardíaca permanente (J0190010105);Dispositivos estérieis utilizados para estabelecer a ligação eléctrica permanente de um pacemaker à superfície externa do músculo cardíaco. Transmitem ao coração o impulso estimulante proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os dispositivos descritos são de uso único.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10994351;DM Implantável Ativo (DMIA);Medtronic Inc. ;4968-25;Capsute EPI;Medtronic;Electrocateteres epicárdicos para estimulação cardíaca permanente (J0190010105);Dispositivos estérieis utilizados para estabelecer a ligação eléctrica permanente de um pacemaker à superfície externa do músculo cardíaco. Transmitem ao coração o impulso estimulante proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os dispositivos descritos são de uso único.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10994360;DM Implantável Ativo (DMIA);Medtronic Inc. ;5086MRI58;Capsurefix MRI;Medtronic;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10994378;DM Implantável Ativo (DMIA);Medtronic Inc. ;5086MRI52;Capsurefix MRI;Medtronic;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10994386;DM Implantável Ativo (DMIA);Boston Scientific Corporation;F161;INCEPTA;BOSTON SCIENTIFIC;Desfibrilhadores de câmara única com sensor (J01050101);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilhação auricular ou ventricular. Tem a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por um só electrocateter com sensor (localizado na aurícula ou ventrículo direitos) com função de detecção de arritmias e de estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10994394;DM Implantável Ativo (DMIA);Boston Scientific Corporation;F162;INCEPTA;BOSTON SCIENTIFIC;Desfibrilhadores de dupla câmara com sensor (J01050201);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilhação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por dois electrocateteres com sensor (localizados na aurícula e ventrículo direitos) com função de detecção de arritmias e de  estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10994408;DM Implantável Ativo (DMIA);Medtronic Inc. ;A3DR01;Advisa DR MRI¿ SureScan¿ A3DR01;Medtronic;Pacemaker de dupla câmara com sensor (DR) (J01010302);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca.  Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.  A função de pacing  é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10994416;DM Implantável Ativo (DMIA);Medtronic Inc. ;EMDR01;ENRHYTHM;Medtronic;Pacemaker de dupla câmara com sensor (DR) (J01010302);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca.  Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.  A função de pacing  é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10994513;DM Implantável Ativo (DMIA);Boston Scientific Corporation;P162;INCEPTA;BOSTON SCIENTIFIC;Desfibrilhadores de tripla câmara com sensor (J01050301);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por três electrocateteres com sensor (localizados em três compartimentos do coração) com função de detecção de arritmias potencialmente letais e estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10994521;DM Implantável Ativo (DMIA);Boston Scientific Corporation;P163;INCEPTA;BOSTON SCIENTIFIC;Desfibrilhadores de tripla câmara com sensor (J01050301);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por três electrocateteres com sensor (localizados em três compartimentos do coração) com função de detecção de arritmias potencialmente letais e estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10994530;DM Implantável Ativo (DMIA);Boston Scientific Corporation;F163;INCEPTA;BOSTON SCIENTIFIC;Desfibrilhadores de dupla câmara com sensor (J01050201);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilhação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por dois electrocateteres com sensor (localizados na aurícula e ventrículo direitos) com função de detecção de arritmias e de  estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10994548;DM Implantável Ativo (DMIA);Medtronic Inc. ;5866-38M;5866;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10994556;DM Implantável Ativo (DMIA);Medtronic Inc. ;5866-45;5866;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10994580;DM Implantável Ativo (DMIA);Medtronic Inc. ;6209-D1;Percutaneous Lead Introducer;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10994599;DM Implantável Ativo (DMIA);Medtronic Inc. ;6209-S1;Percutaneous Lead Introducer;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10994602;DM Implantável Ativo (DMIA);Medtronic Inc. ;6208-S1;Percutaneous Lead Introducer;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10994610;DM Implantável Ativo (DMIA);Medtronic Inc. ;6207-S1;Percutaneous Lead Introducer;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10994629;DM Implantável Ativo (DMIA);Medtronic Inc. ;6212-S1;Percutaneous Lead Introducer;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10994637;DM Implantável Ativo (DMIA);Medtronic Inc. ;6211-S1;Percutaneous Lead Introducer;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10994645;DM Implantável Ativo (DMIA);Medtronic Inc. ;6210-D1;Percutaneous Lead Introducer;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10994653;DM Implantável Ativo (DMIA);Medtronic Inc. ;6210-S1;Percutaneous Lead Introducer;Medtronic;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10994661;DM Implantável Ativo (DMIA);Medtronic Inc. ;693565;SPRINT QUATTRO SECURE S;Medtronic;Electrocateteres permanentes para desfibrilhadores de espiral simples (J019001020101);"Dispositivos estérieis utilizados para estabelecer a ligação eléctrica permanente de um desfibrilhador implantável de espiral simples à cavidade interna do ventrículo direito. Transmitem ao coração um impulso de reversão proveniente do desfibrilhador e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Estes electrodos podem ter um sistema de fixação passiva (caracterizada pela presença de apêndices isolantes, denominados ""barbas"", colocados nas laterais do eléctrodo distal) ou activa (caracterizado por um sistema de âncora tipo parafuso). Os dispositivos descritos são de uso único.";MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10994670;DM Implantável Ativo (DMIA);Medtronic Inc. ;693558;SPRINT QUATTRO SECURE S;Medtronic;Electrocateteres permanentes para desfibrilhadores de espiral simples (J019001020101);"Dispositivos estérieis utilizados para estabelecer a ligação eléctrica permanente de um desfibrilhador implantável de espiral simples à cavidade interna do ventrículo direito. Transmitem ao coração um impulso de reversão proveniente do desfibrilhador e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Estes electrodos podem ter um sistema de fixação passiva (caracterizada pela presença de apêndices isolantes, denominados ""barbas"", colocados nas laterais do eléctrodo distal) ou activa (caracterizado por um sistema de âncora tipo parafuso). Os dispositivos descritos são de uso único.";MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10994688;DM Implantável Ativo (DMIA);BIOTRONIK SE & Co. KG;370946;SAFIO S;BIOTRONIK;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";CEM BIOTRONIK S.A.
10994696;DM Implantável Ativo (DMIA);BIOTRONIK SE & Co. KG;370945;SAFIO S;BIOTRONIK;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";CEM BIOTRONIK S.A.
10994718;DM Implantável Ativo (DMIA);BIOTRONIK SE & Co. KG;371996;EVIA;BIOTRONIK;Pacemaker de dupla câmara com sensor (DR) (J01010302);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca.  Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.  A função de pacing  é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;Biotronik Portugal, Unipessoal Lda.
10994726;DM Implantável Ativo (DMIA);BIOTRONIK SE & Co. KG;355270;Lumax 300;Biotronik;Desfibrilhadores de câmara única com sensor (J01050101);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilhação auricular ou ventricular. Tem a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por um só electrocateter com sensor (localizado na aurícula ou ventrículo direitos) com função de detecção de arritmias e de estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Biotronik Portugal, Unipessoal Lda.
10994734;DM Implantável Ativo (DMIA);BIOTRONIK SE & Co. KG;355266;Lumax 300;Biotronik;Desfibrilhadores de dupla câmara com sensor (J01050201);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilhação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por dois electrocateteres com sensor (localizados na aurícula e ventrículo direitos) com função de detecção de arritmias e de  estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Biotronik Portugal, Unipessoal Lda.
10994742;DM Implantável Ativo (DMIA);Medtronic Inc. ;439688;ATTAIN;Medtronic;Electrocateteres para ventrículo esquerdo com sistema de cânula no seio coronário (pacemaker de tripla câmara) (J0190010103);Dispositivos estéreis utilizados para estabelecer a ligação eléctrica permanente de um pacemaker de tripla câmara ao ventriculo esquerdo do doente. Transmitem ao coração o impulso estimulante proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Estes electrocateteres são fixados à superfície interna do ventrículo. Os dispositivos descritos são de uso único.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10994750;DM Implantável Ativo (DMIA);Medtronic Inc. ;419688;ATTAIN;Medtronic;Electrocateteres para ventrículo esquerdo com sistema de cânula no seio coronário (pacemaker de tripla câmara) (J0190010103);Dispositivos estéreis utilizados para estabelecer a ligação eléctrica permanente de um pacemaker de tripla câmara ao ventriculo esquerdo do doente. Transmitem ao coração o impulso estimulante proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Estes electrocateteres são fixados à superfície interna do ventrículo. Os dispositivos descritos são de uso único.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10994769;DM Implantável Ativo (DMIA);Medtronic Inc. ;419678;ATTAIN;Medtronic;Electrocateteres para ventrículo esquerdo com sistema de cânula no seio coronário (pacemaker de tripla câmara) (J0190010103);Dispositivos estéreis utilizados para estabelecer a ligação eléctrica permanente de um pacemaker de tripla câmara ao ventriculo esquerdo do doente. Transmitem ao coração o impulso estimulante proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Estes electrocateteres são fixados à superfície interna do ventrículo. Os dispositivos descritos são de uso único.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10994785;DM Implantável Ativo (DMIA);Medtronic Inc. ;419478;ATTAIN;Medtronic;Electrocateteres para ventrículo esquerdo com sistema de cânula no seio coronário (pacemaker de tripla câmara) (J0190010103);Dispositivos estéreis utilizados para estabelecer a ligação eléctrica permanente de um pacemaker de tripla câmara ao ventriculo esquerdo do doente. Transmitem ao coração o impulso estimulante proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Estes electrocateteres são fixados à superfície interna do ventrículo. Os dispositivos descritos são de uso único.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
