CODIGO_INTERNO;CODIGO_BARRAS;REGISTRO_ANVISA;NOME_COMERCIAL;APRESENTACAO;MARCA;TIPO_EMBALAGEM;QT_EMBALAGEM
1325;7895296296021;1356905570030;RISEDRONATO SODICO 35 MG CP (G);RISEDRONATO SODICO 35 MG VO CP ;NOVA QUIMICA;CX C/4 CP;4
1214;7898487606111;1140200790049;TRAMADOL 50 MG 1 ML AMP (G) (A2);CLORIDRATO DE TRAMADOL 50 MG/ML SOL/INJ IM/IV 1 ML AMP (A2);NOVAFARMA;CX C/50 AMP;50
1215;7898208149385;1140200460065;AMPICILINA + SULBACTAM 2/1 G FA (G);AMPICILINA SÓDICA + SULBACTAM SÓDICO 2/1 G PÓ/INJ IM/IV S/DIL  F/A;NOVAFARMA;CX C/20 FA;20
1216;7898208146094;1140200460022;AMPICILINA + SULBACTAM 1/0,5 G FA (G);AMPICILINA SÓDICA + SULBACTAM SÓDICO 1/0,5 G PÓ/INJ IM/IV F/A;NOVAFARMA;CX C/20 FA;20
1217;7896006228868;1049701720040;UNI CARBAMZ 2% 100 ML (S) (C1);CARBAMAZEPINA 20 MG/ML 100 ML VO FR (C1);UNIAO QUIMICA;FR C/100 ML;1
1280;7896006237167;1049713300017;FENOBARBIT 40 MG/ML  FR C/20 ML (G) (C1);FENOBARBITAL 40 MG/ML  FR GOTEJADOR 20 ML (C1);UNIAO QUIMICA;FR C/20 ML;1
1180;742832785280;80746270004;LUVA NITRILO S/PO BLUE M UN;LUVAS NITRILO NAO ESTERIL PARA PROCEDIMENTO S/ PO BLUE TAMANHO M;UNIGLOVES;CX C/100 UN;100
1331;7899095216631;1542301340334;IBUVIX 300 MG CP (S);IBUPROFENO 300 MG CP VO (50 BLISTERS C/10 CP);GEOLAB;CX C/500 CP;500
1190;7898148295227;1256800520029;ALBENDAZOL 400 MG CP (G);ALBENDAZOL 400 MG VO CP COMPRIMIDOS MASTIGAVEIS (EMBALAGEM FRACIONAVEL);PRATI DONADUZZI;CX C/100 CP;100
1195;7898148292080;1256800210100;ESPECTROPRIMA 40 + 8 MG/ML 50 ML FR (S);SULFAMETOXAZOL + TRIMETOPRIMA 40 MG/ML + 8 MG/ML VO 50 ML;PRATI DONADUZZI;CX C/50 FR;50
1196;7899547506143;1256800210291;ESPECTROPRIMA 40+ 8 MG/ML 100 ML FR (S);SULFAMETOXAZOL + TRIMETOPRIMA 40 MG/ML + 8 MG/ML VO 100 ML;PRATI DONADUZZI;CX C/50 FR;50
1197;7898148298730;1256800930014;BROMOPRIDA 4 MG/ML 20 ML FR (G);BROMOPRIDA 4 MG/ML 20 ML VO FR;PRATI DONADUZZI;CX C/200 FR;200
1332;7891721023491;1008902770021;MESILATO DE DOXAZOSINA 2 MG CP (G);"MESILATO DE DOXAZOSINA 2 MG VO CP
";MERCK;CX C/30 CP;30
1412;7899547505436;1256802110030;LANSOPRAZOL 30 MG CAP (G);LANZOPRAZOLL 30 MG VO CAP LIBERCAO RETARDADA;PRATI DONADUZZI;CX C/28 CA;28
1737;7898158690401;1156000150042;PEDIDERM SHAMPOO 0,2 MG/ML 100 ML FR (S);DELTAMETRINA 0,2 MG/ML 100 ML FR;CIFARMA;FR C/100 ML;1
1777;7898910350130;1565100110012;BROM DE CITALOPRAM 20 MG CP (G) (C1);BROMIDRATO DE CITALOPRAM 20 MG VO CP (C1) FARMA;ZYDUS;CX C/30 CP;1
1778;7898910350154;1565100100017;CLOR DE SERTRALINA 50 MG CP (G) (C1);CLORIDRATO DE SERTRALINA 50 MG VO CP (C1) FARMA;ZYDUS;CX C/30 CP;1
1804;7898259495301;80026180002;SERINGA SR 3 ML LUER LOCK S/AGULHA;"SERINGA HIPODERMICA DESCARTAVEL 3 ML BICO CENTRAL / LUER LOCK S/AGULHA
";SALDANHA RODRIGUES;1 UNI;1
1472;7899095256408;1542302520034;CLOR BUPROPIONA 150 MG CP (C1)(G);CLORIDRATO DE BUPROPIONA 150 MG VO CP (C1);GEOLAB;CX C/30 CP;30
1571;7899095238299;1542301940013;LATANOPROSTA COL 2,5 ML(2A8°) (G)       ;LATANOPROSTA 50 MCG/ML 2,5 ML COLIRIO FR (2 A 8°C) ;GEOLAB;FR C/2,5 ML;1
1572;7899095233836;1542301440010;BRIMONIDINA 1,5 MG/ML COL 5 ML (G)     ;TARTARATO DE BRIMONIDINA 1,5 MG/ML 5 ML COLIRIO FR;GEOLAB;FR C/5 ML;1
1573;7899095230255;1542301440096;BRIMONIDINA 2 MG/ML COL 5 ML(G)       ;TARTARATO DE BRIMONIDINA 2 MG/ML 5 ML COLIRIO FR;GEOLAB;FR C/5 ML;1
1370;7896006259657;1049711890076;DEMEDROX 150 MG/ML 1ML AMP (S);ACETATO DE MEDROXIPROGESTERONA 150 MG/ML IM 1 ML AMP ;UNIAO QUIMICA;AMP C/1 ML;1
1371;7898133137327;0;HIDRAPLEX NAT 27,9 G SACHE (S);SAIS DE REHIDRATAÇÃO ORAL;NATULAB;CX C/50 SH;50
1372;7898148293728;1256800370027;SULFADIAZINA DE PRATA 10 MG/G 400 G (G);SULFADIAZINA DE PRATA 10 MG/G CREME DERMATOLOGICO 400 G POTE;PRATI DONADUZZI;CX C/24 POTE;24
1529;7896006212706;1049712200019;ETILEFRIL 10 MG/ML 1 ML AMP (S);"CLORIDRATO DE ETILEFRINA 10 MG/ML SOL/INJ IM/IV/SC 1ML AMP 


";UNIAO QUIMICA;CX C/6 AMP;6
1645;7898148293384;1256800340128;CARBOCISTEINA 50 MG/ML AD 100 ML (G);CARBOCISTEINA 50 MG/ML 100 ML ADULTO VO FR + COPO MEDIDOR;PRATI DONADUZZI;CX C/50 FR;50
1750;7896006232667;1049713420039;BROMOPRIDA 5MG/ML IM/IV INJ 2 ML AMP (G);BROMOPRIDA 5 MG/ML SOL/INJ IM/IV 2 ML AMP;UNIAO QUIMICA;CX C/50 AMP;50
1470;7896006235316;1049700950085;DIGESTINA 5MG/ML IM/IV INJ 2 ML AMP (S);BROMOPRIDA 5 MG/ML SOL/INJ IM/IV 2 ML AMP;UNIAO QUIMICA;CX C/6 AMP;6
1479;7896676431278;1029800160197;FENOCRIS 100 MG/ML 2 ML AMP (S) (B1);FENOBARBITAL 100 MG/ML SOL/INJ IM 2 ML AMP (B1);CRISTALIA;CX C/25 AMP;25
1507;7896004732626;1023510390042;CLOR BUPROPIONA 150 MG CP (C1);CLORIDRATO DE BUPROPIONA 150 MG VO CP (C1);EMS;CX C/30 CP;30
1508;7896006227564;1049711340070;VIVERDAL 2 MG CP (S) (C1);RISPERIDONA 2 MG VO CP (C1);UNIAO QUIMICA;CX C/30 CP;30
1509;7896006227601;1049711430097;VIVERDAL 3 MG CP (S) (C1);RISPERIDONA 3 MG VO CP (C1);UNIAO QUIMICA;CX C/30 CP;30
1584;7899547529142;1256802020228;LOSARTANA POTASSICA 50 MG CP (G);LOSARTANA POTASSICA 50 MG VO CP ;PRATI DONADUZZI;CX C/960 CP;960
1516;7898148297474;1256801040020;CLOTRIMAZOL 10 MG/G 20 G DERM BIS (G);CLOTRIMAZOL 10 MG/G CREME DERMATOLOGICO 20 G BIS;PRATI DONADUZZI;CX C/100 BIS;100
1594;7896112145783;1037003150024;SULFA + TRIMETOPRIMA 400/80 MG CP (G);SULFAMETOXAZOL + TRIMETOPRIMA 400+ 80 MG VO CP;TEUTO;CX C/100 CP;100
1595;7896112138532;1037005470050;LAMOTRIGINA 100 MG CP (G) (C1);LAMOTRIGINA 100 MG VO CP (C1);TEUTO;CX C/200 CP;200
1599;7896014687077;1163701150041;PENKARON 400.000 UI  PO IM/IV FA (S);"BENZILPENICILINA  PROCAINA 300000 + POTASSICA 100000 UI PÓ IM S/DIL F/A /BASE
";BLAU FARMAC.;CX C/100 FA;100
1593;7896112127536;1037004100111;SULFA+TRIMETOPRIMA 40+8 MG/ML 100ML (G);SULFAMETOXAZOL + TRIMETOPRIMA 40 MG/ML + 8 MG/ML VO 100 ML + COPO DOSADOR;TEUTO;CX C/50 FR;50
1609;7897848502277;1476100250026;RANITIDINA 150 MG/10 ML 120 ML FR (G) ;"RANITIDINA 15 MG/ML XAROPE 120 ML + COPO DOSADOR

";NATIVITA;CX C/70 FR;70
1619;7898148293490;1256801220010;TRIANCINOLONA ACETONIDA 1 MG/G BIS (G);TRIANCINOLONA ACETONIDA 1 MG/G 10 G BIS;PRATI DONADUZZI;BIS C/10 G;1
1349;7898148293759;1256800370051;SULFADIAZ DE PRATA 10 MG/G 50 G BIS (G);SULFADIAZINA DE PRATA 10 MG/G CREME DERMATOLOGICO 50 G BIS;PRATI DONADUZZI;CX C/50 BIS;50
1374;7898404221489;1018600340031;GENTAMICINA 80MG IM/IV INJ 2ML AMP (G);SULFATO DE GENTAMICINA 40 MG/ML SOL/INJ IM/IV 2 ML;SANTISA;CX C/100 AMP;100
1387;7899095210417;1542300009004;TRAXONOL 100 MG CAP (S);ITRACONAZOL 100 MG VO CAP (50 BLISTERS C/5 CAP) ;GEOLAB;CX C/250 CAP;250
1510;7896006227588;1049711430054;VIVERDAL 1 MG CP (S) (C1);RISPERIDONA 1 MG VO CP (C1);UNIAO QUIMICA;CX C/30 CP;30
1511;7896006286660;1049712120015;PREDI-MEDROL 40 MG/ML SUP INJ 2ML FA;"ACETATO DE METILPREDNISOLONA 40 MG/ML SUSP INJ IM/INTRASSINOVIAL/INTRALESIONAL/INTRARRETAL 2 ML F/A 


";UNIAO QUIMICA;FA C/2 ML;1
1512;7896006265702;1049712290018;DESLANOL 0,2 MG/ML SOL/INJ 2ML AMP (S);"DESLANOSIDEO 0,2 MG/ML SOL/INJ IM/IV 2 ML F/A 


";UNIAO QUIMICA;CX C/50 AMP;50
1530;7899095235083;1542301890016;PREDOPTIC 10 MG/ML COLIRIO 5 ML (S);"ACETATO DE PREDNISOLONA 10 MG/ML SUSPENSAO OFTALMICA 5 ML FR

";GEOLAB;FR C/5 ML;1
1585;7898470681309;1134301700024;CLORIDRATO DE TIAMINA 300 MG CP (G);CLORIDRATO DE TIAMINA 300 MG VO CP;HIPOLABOR;CX C/500 CP;500
1519;7896112147107;1037003030029;METRONIDAZOL 100 MG/G 50 G BIS VAG (G);METRONIDAZOL 100 MG/G GELEIA VAGINAL 50 G BIS;TEUTO;CX C/50 BIS;50
1520;7896112145912;1037002880010;ESCOPOLAMINA 20 MG/ML 1 ML AMP (G);BUTILBROMETO DE ESCOPOLAMINA 20 MG/ML 1 ML IM/IV/SC AMP;TEUTO;CX C/6 AMP;6
1521;7896112167235;1037005950168;CLOR DE MEMANTINA 10 MG CP (G) (C1);CLORIDRATO DE MEMANTINA 10 MG VO CP (C1);TEUTO;CX C/500 CP;500
1522;7896112190752;1037005110054;DIAZEPAM 10 MG 2ML AMP (G) (B1);DIAZEPAM 5MG/ML SOL/INJ IM/IV 2 ML AMP (B1);TEUTO;CX C/72 AMP;72
1603;7898470681576;1134301790023;MICONAZOL 20 MG/G 80G CREM VAG BIS (G);NITRATO DE MICONAZOL 20 MG/G 80 G CREME VAGINAL BIS + APLICADOR;HIPOLABOR;CX C/50 BIS;50
1627;7899095243224;1542301920039;OCUTIL 0,25/3 MG/ML COL FR 15 ML (S);CLORIDRATO DE NAFAZOLINA + MALEATO DE FENIRAMINA 0,25/3 MG/ML COLIRIO FR 15 ML;GEOLAB;FR C/15 ML;1
1291;7898945030212;1351700040020;TRIMEBUTINA 200 MG CP (G);MALEATO DE TRIMEBUTINA 200 MG VO CP (BLISTER COM 30 CP);ALTHAIA;CX C/30 CP;30
1296;7899095239357;1542301400175;CISTEIL 200 MG ENV (S);ACETILCISTEINA 200 MG VO SCH ;GEOLAB;CX C/50 ENV;50
1620;7898148293346;1256800340063;CARBOCISTEINA 20 MG/ML PED 80 ML (G);CARBOCISTEINA 20 MG/ML 80 ML PEDIATRICO VO FR + COPO MEDIDOR;PRATI DONADUZZI;CX C/50 FR;50
1621;7898148293360;1256800340081;CARBOCISTEINA 50 MG/ML AD 80 ML (G);CARBOCISTEINA 50 MG/ML 80 ML ADULTO VO FR + COPO MEDIDOR;PRATI DONADUZZI;CX C/50 FR;50
1237;7898574610175;1558900120052;VASOLEN 75 MG CP (S);"BISSULFATO DE CLOPIDOGREL 75 MG VO CP


";MELCON;CX C/30 CP;30
1357;7896241296523;1097401940010;VONAU FLASH 4 MG CP (S);CLORIDRATO DE ONDANSETRONA 4 MG VO CP (COMPRIMIDO DE DESINTEGRAÇÃO ORAL);BIOLAB;CX C/10 CP;10
1358;7896241296400;1097401940037;VONAU FLASH 8 MG CP (S);CLORIDRATO DE ONDANSETRONA 8 MG VO CP (COMPRIMIDO DE DESINTEGRAÇÃO ORAL);BIOLAB;CX C/10 CP;10
1531;7899095204522;1542301880010;MAXIVIEW COLIRIO 5 ML (S);"DEXAMETASONA + SULFATO DE NEOMICINA + SULFATO DE POLIMIXINA B 1 MG + 3,5 MG + 6000 UI/ML SUSPENSAO OFTALMICA 5 ML FR

";GEOLAB;FR C/5 ML;1
1532;7899095249684;1542302090013;TRAVOPROSTA 0,04 MG/ML 2,5 ML (G);"TRAVOPROSTA 0,04 MG/ML SOLUÇÃO OFTALMICA FR

";GEOLAB;FR C/2,5 ML;1
1615;7899095230286;1542301910017;DEXAME + NEOMICINA + POLIMIXINA 5 ML (G);"DEXAMETASONA + SULFATO DE NEOMICINA + SULFATO DE POLIMIXINA B 1 MG + 3,5 MG + 6000 UI/ML SUSPENSAO OFTALMICA 5 ML FR

";GEOLAB;FR C/5 ML;1
1673;7896615140957;80023140008;MICROPAR MICRONEBULIZADOR INFANTIL;KIT PARA NEBULIZAÇÃO/INALAÇÃO MECANICO INFANTIL ENGATE C/ ROSCA;SONICLEAR;CX C/1 UN;1
1674;7896615140964;80023140008;MICROPAR MICRONEBULIZADOR ADULTO;KIT PARA NEBULIZAÇÃO/INALAÇÃO MECANICO ADULTO ENGATE C/ ROSCA;SONICLEAR;CX C/1 UN;1
1459;7899547510010;1256802590040;BETAISTINA 16 MG CP (G);DICLORIDRATO DE BETAISTINA 16 MG VO CP;PRATI DONADUZZI;CX C/60 CP;60
1523;7896112127178;1037001110017;BACLOFEN 10 MG CP (S);BACLOFENO 10 MG  VO CP;TEUTO;CX C/20 CP;20
1622;7899547524369;1256802500238;BROM DE GALANTAMINA 16 MG CAP (G) (C1);BROMIDRATO DE GALANTAMINA 16 MG VO CAP (C1);PRATI DONADUZZI;CX C/280 CAP;280
1631;7896202502311;NOT SIMPLICIF;COMPLEXO B CP (S);NICOTINAMIDA (VITAMINA B3) 16 MG, ACIDO PANTOTENICO (VITAMINA B5) 5 MG, PIRIDOXINA (VITAMINA B6)1,3 MG, RIBOFLAVINA (VITAMINA B2) 1,3 MG, TIAMINA (VITAMINA B1) 1,2 MG, CIANOCOBALAMINA (B12) 2,4 MCG VO CP;VITAMED;CX C/500 CP;500
1632;7896202500980;1169500320067;ISOVIT 150 MG CP (S);GLYCINE MAX (ISOFLAVONA) 150 MG VO CP;VITAMED;CX C/60 CP;60
1633;7896202501321;1169500320123;ISOVIT 75 MG CP (S);GLYCINE MAX (ISOFLAVONA) 75 MG VO CP;VITAMED;CX C/60 CP;60
1634;7896202501185;1169500270030;RESODIC 50 MG CP (S);DICLOFENACO SÓDICO 50 MG VO CP ;VITAMED;CX C/500 CP;500
1843;7898505094630;1779400270026;FLORALON 200 MG SACHES (S);SACCHAROMYCES BOULARDII 200 MG VO SH;MABRA;CX C/4 SACHE;4
1359;7899095203556;1542301400035;CISTEIL AD 40 MG/ML 120 ML (S);ACETILCISTEINA AD 40 MG/ML 120 ML + COPO DOSADOR;GEOLAB;FR C/120 ML;1
1360;7899095203532;1542301400078;CISTEIL PED 20 MG/ML 120 ML (S);ACETILCISTEINA PED 20 MG/ML 120 ML + COPO DOSADOR;GEOLAB;FR C/120 ML;1
1361;7899095258075;1542302430086;BESILAPIN 10 MG CP (S);BESILATO DE ANLODIPINO 10 MG VO CP (50 BLISTER C/10 CP) ;GEOLAB;CX C/500 CP ;500
1440;7899095239814;1542302310064;CIPROFIBRATO 100 MG CP (G);CIPROFIBRATO 100 MG VO CP;GEOLAB;CX C/500 CP;500
1641;7898148293681;1256800260043;NISTATINA 100.000 UI/ML 50 ML FR (G);NISTATINA 100.000 UI/ML 50 ML SUSP ORAL VO FR;PRATI DONADUZZI;FR C/50 ML;1
1658;7898947017488;80451960067;NPH MEDICAL AGULHA C/SIST SEG 25 X 0,8  ;AGULHA DESCARTÁVEL C/SIST DE SEGURANÇA 25 X 0,8 MM  / 21G X 1;NUTRIEX;CX C/100 UNI;100
1728;7898495603027;1156000520028;FUNGICORT 20/0,64 MG/G CRE 30 G BIS (S);CETOCONAZOL+BETAMETASONA 20/0,64 MG/G CREME 30G BIS;CIFARMA;BIS C/30 G;1
1730;7899095203242;1542300270049;FLEXALGIN 300/125/50/30 MG VO CP (S) ;PARACETAMOL 300 MG + CARISOPRODOL 125 MG + DICLOFENACO SODICO 50 MG + CAFEINA 30 MG VO CP;GEOLAB;CX C/100 CP;100
1731;7898133131325;1384100200066;POLARADEX 0,4 MG/ML 120 ML FR (S);"DEXCLORFENIRMINA 0,4 MG/ML 120 ML + COPO MEDIDOR
";NATULAB;CX C/50 FR;50
1739;7898495607322;1156001910032;VARIFLUX 450/50 MG CP (S);DIOSMINA + HESPERIDINA 450/50 MG VO CP;CIFARMA;CX C/60 CP;60
1740;7898495607339;1156001910040;VARIFLUX 450/50 MG CP (S);DIOSMINA + HESPERIDINA 450/50 MG VO CP;CIFARMA;CX C/500 CP;500
1841;7898166040625;1108500280026;VITAMINA C 100 MG/ML 5 ML AMP (S) ;"ACIDO ASCORBICO (VITAMINA C) 100 MG/ML AMP

";FARMACE;CX C/100 AMP;100
1292;7896006221609;1049711730022;BETA-LONG 3/3 MG 1 ML AMP (2 A 8°C) (S);DIPROPIONATO DE BETAMETASONA + FOSFATO DISSÓDICO DE BETAMETASONA 3/3 MG AMP 1 ML (2 A 8ºC);UNIAO QUIMICA;CX C/25 AMP;25
1351;7898216365272;1410700320049;ARTRITEC 15 MG CP (S);"MELOXICAM 15 MG VO CP
";PHARLAB;CX C/500 CP;500
1524;7896112124399;1037004710058;CLINDAMICINA 300 MG CAP (G);CLORIDRATO DE CLINDAMICINA 300 MG VO CAP;TEUTO;CX C/320 CAP;320
1525;7896112118138;1037002870058;DEXAMETASONA 4 MG/ML 2,5 ML AMP (G);FOSFATO DISSODICO DE DEXAMETASONA  4 MG/ML SOL/INJ IM/IV 2,5 ML AMP;TEUTO;CX C/100 AMP;100
1559;7898216364442;1410700370062;DOXICLIN 100 MG CP (S);CLORIDRATO DE DOXICICLINA 100 MG VO CP REVESTIDOS;PHARLAB;CX C/600 CP;600
1560;7898470680531;1134301590024;HIPOFOL 5 MG CP (S);ACIDO FOLICO 5 MG VO CP;HIPOLABOR;CX C/500 CP;500
1308;7899095242098;1542302250266;CLOR DE SERTRALINA 100 MG CP (G) (C1);CLORIDRATO DE SERTRALINA 100 MG VO CP (C1);GEOLAB;CX C/30 CP;30
1309;7898166040670;1108500260033;ESC + DIPIRONA 500/4 MG/ML 5 ML AMP (G) ;"BROMETO DE ESCOPOLAMINA + DIPIRONA 4/500 MG/ML SOL/INJ IM/IV 5 ML AMP
";FARMACE;CX C/100 AMP;100
1366;7898123907749;1134301220022;AMIODARONA 50 MG/ML IV 3 ML AMP (G);CLORIDRATO DE AMIODARONA 50 MG/ML IV 3 ML AMP;HIPOLABOR;CX C/100 AMP;100
1643;7896004732633;1023510390050;CLOR BUPROPIONA 150 MG CP (G) (C1);CLORIDRATO DE BUPROPIONA 150 MG VO CP DE LIBERACAO PROLONGADA (C1);EMS;CX C/60 CP;60
1278;7896112119357;1037004610037;CLOR DE VANCOMICINA 500 MG PO IV FA (G);CLORIDRATO DE VANCOMICINA 500 MG PÓ/INJ IV F/A;TEUTO;CX C/50 FA;50
1482;7899547508048;1256802620195;PANTOPRAZOL 40 MG CP (G);PANTOPRAZOL SÓDICO SESQUI-HIDRATADO 40 MG VO CP REVESTIDOS DE LIBERAÇÃO RETARDADA;PRATI DONADUZZI;CX C/280 CP;280
1741;7896137101405;1071400990045;VITADESAN GOTAS 10 ML FR (S)           ;ACET DE RETINOL + COLECALCIFEROL 3000 UI + 800 UI VO 10 ML SOLUÇÃO ORAL GOTAS VO FR;SANVAL;CX C/50 FR;50
1751;7896615120713;80023140012;X-PRAY ESPACADOR ADOLESCENTE (LARANJA);ESPAÇADOR PARA MEDICAMENTOS AEROSSOIS ADOLESCENTE;SONICLEAR;CX C/1 UN;1
1758;7899470805993;1384100230267;BRONQTRAT 6 MG/ML AD 100 ML FR (S);CLORIDRATO DE AMBROXOL 6 MG/ML ADULTO 100 ML VO FR + COPO DOSADOR;NATULAB;CX C/50 FR;50
1759;7898133137679;1384100510081;COMPLE B CP (S);CLORIDRATO DE TIAMINA (EQUIVALENTE A 7,5 MG DE TIAMINA) 9,532 MG + FOSFATO SÓDICO DE RIBOFLAVINA (EQUIVALENTE A 0,825 MG DE RIBOFLAVINA) 1,049 MG + CLORIDRATO DE PIRIDOXINA (EQUIVALENTE A 2,5 MG DE PIRIDOXINA) 3,039 MG + NICOTINAMIDA 12,5 MG VO CP;NATULAB;CX C/500 CP;500
1842;7898166042568;ISENT RES 199;NASOLIVE 9 MG/ML SOL NASAL 30 ML FR (S);CLORETO DE SODIO + CLORETO DE BENZALCONIO 9/0,1 MG/ML 30 ML SOL NASAL FR;FARMACE;CX C/100 FR;100
1489;7898470680937;1134301110065;DEXCLORFENIRAMINA 0,4 MG/ML 100 ML (G);MALEATO DE DEXCLORFENIRAMINA 0,4 MG/ML 100 ML;HIPOLABOR;CX C/50 FR;50
1660;7898947017518;80451960067;NPH MEDICAL AGULHA C/SIST SEG 30 X 1,0  ;AGULHA DESCARTÁVEL C/SIST DE SEGURANÇA 30 X 1,00 MM  / 19G X 1.1/4;NUTRIEX;CX C/100 UNI;100
1667;7898470680388;1134301540027;ESCOPOLAMINA + DIPIRONA 20 ML FR (G);BUTILBROMETO DE ESCOPOLAMINA 6,67 MG/ML + DIPIRONA SODICA MONOIDRATADA 333,4 MG/ML 20 ML VO FR;HIPOLABOR;CX C/200 FR;200
1267;7898166040700;1108500250038;RANITIDINA 25 MG/ML IM/IV 2 ML AMP (G);CLORIDRATO DE RANITIDINA 25 MG/ML SOL/INJ IM/IV 2 ML AMP;FARMACE;CX C/100 AMP;100
1268;7898166042186;1108500340071;PARACETAMOL 200 MG/ML 10 ML FR (G);PARACETAMOL 200 MG/ML 10 ML VO FR;FARMACE;CX C/100 FR;100
1269;7898166040854;1108500300027;DIPIRONA 500 MG/ML 10 ML FR (G);DIPIRONA SODICA MONOIDRATADA 500 MG/ML 10 ML VO FR;FARMACE;CX C/100 FR;100
1270;7898166041622;1108500140038;NIDAZOFARMA 5 MG/ML SIST FECHADO FR (S);"METRONIDAZOL 0,5% SOL/INJ SISTEMA FECHADO IV 100 ML  FR
";FARMACE;CX C/60 FR;60
1275;7896137113873;1071402160015;ESTRIONIL 1 MG/G CREM VAG 50 G + APL (S);ESTRIOL 1 MG/G CREME VAGINAL 50 G BIS + APLICADOR;SANVAL;BIS C/50 G;1
1316;7898361881030;1516700350032;CLOR DE PAROXETINA 20 MG CP (G)(C1);CLORIDRATO DE PAROXETINA 20 MG VO CP (G)(C1);AUROBINDO;CX C/30 CP;30
1449;7896523210940;1438101460048;GLIMEPIRIDA 4 MG CP (G);GLIMEPIRIDA 4 MG VO CP;CIMED;CX C/30 CP;30
1483;7899547507935;1256802620098;PANTOPRAZOL 20 MG CP LIB RETARDADA(G);PANTOPRAZOL SÓDICO SESQUI-HIDRATADO 20 MG VO CP REVESTIDOS DE LIBERAÇÃO RETARDADA;PRATI DONADUZZI;CX C/280 CP;280
1561;7898148291168;1256802010052;AMPICILINA 500 MG CAP (G);AMPICILINA 500 MG VO CAP;PRATI DONADUZZI;CX C/840 CAP;840
1562;7899095249660;1542302110057;BIMATOPROSTA 0,3 MG/ML 5 ML FR (G);BIMATOPROSTA 0,3% 5ML FR ;GEOLAB;FR C/5 ML;1
1616;7899095241725;1542302670168;MONTELUCASTE SÓDIO 5 MG CP MASTIG (G);"MONTELUCASTE DE SODIO 5 MG VO CP MASTIGAVEIS
";GEOLAB;CX C/30 CP;30
1635;7896137122523;1071402370087;PREDNISONA 20 MG CP (G);PREDNISONA 20 MG VO CP;SANVAL;CX C/500 CP;500
1659;7898615310064;80451960067;NPH MEDICAL AGULHA C/SIST SEG 13 X0,45  ;AGULHA DESCARTÁVEL C/SIST DE SEGURANÇA 13 X 0,45 MM  / 26G X 1/2;NUTRIEX;CX C/100 UNI;100
1760;7898133131455;1384100040158;MASFEROL 125 MG/ML 30 ML FR (S);SULFATO FERROSO 125 MG/ML (FERRO ELEMENTAR 25 MG/ML) 30 ML FRASCO;NATULAB;CX C/100 FR;100
1761;7898133131332;1384100180022;VITER C 200 MG/ML 20 ML FR (S) ;ACIDO ASCORBICO (VITAMINA C) 200 MG/ML 20 ML FR;NATULAB;CX C/50 FR;50
1762;7908007901173;80560310031;TIRAS ON CALL PLUS II HOSP UND;TIRAS DE GLICOSE HGT;ACON;CX C/50 TIRA;50
1763;7896523206103;1438100590037;CIMELIDE 50 MG/ML 15 ML FR (S);NIMESULIDA 50 MG/ML 15 ML FR;CIMED;FR C/15 ML;1
1764;7898361700287;1031101540014;METRONIDAZOL 5 MG/ML SIST FECHADO FR (S);"METRONIDAZOL 0,5% SOL/INJ SISTEMA FECHADO IV 100 ML  FR
";HALEX ISTAR;CX C/60 FR;60
1862;7898049793143;1039200920104;DIMENIDRIN 25/5MG/ML 20ML (S);DIMENIDRINATO + CLORIDRATO DE PIRIDOXINA 25/5 MG 20 ML VO FR;VITAMEDIC;FR C/20 ML;1
1265;7896006219149;1049711380072;TEFLAN 20 MG PO/INJ FA (S);TENOXICAM 20 MG  PO/INJ IM/IV FA;UNIAO QUIMICA;CX C/50 FA;50
1285;7898148290826;1256801460070;ATENOLOL 50MG CP (G);ATENOLOL 50 MG VO CP;PRATI DONADUZZI;CX C/600 CP;600
1460;7899547510126;1256802590148;BETAISTINA 24  MG CP (G);DICLORIDRATO DE BETAISTINA 24 MG VO CP;PRATI DONADUZZI;CX C/60 CP;60
1617;7898122913086;1038700580045;CLOR ONDANSETRONA 4 MG IM/IV AMP (G);"CLORIDRATO DE ONDANSETRONA 2 MG/ML IM/IV 2 ML

";HYPOFARMA;CX C/50 AMP;50
1317;7896006262879;1049712080013;HALOPERIDOL 2 MG/ML 20 ML (G) (C1);HALOPERIDOL 2 MG/ML 20 ML VO FR (C1);UNIAO QUIMICA;FR C/20 ML;1
1338;7898166042032;1108500430011;ESCOPOLAMINA 20 MG/ML 1 ML AMP (G);BUTILBROMETO DE ESCOPOLAMINA 20 MG/ML 1 ML IM/IV/SC AMP;FARMACE;CX C/100 AMP;100
1350;7899095255043;1542300240247;SINVAX 40 MG C/250 CP (S);SINVASTATINA 40 MG VO CP;GEOLAB;CX C/250 CP;250
1533;7899547507881;1256802620047;PANTOPRAZOL 20 MG CP LIB RETARDADA (G);PANTOPRAZOL SÓDICO SESQUI-HIDRATADO 20 MG VO CP REVESTIDOS DE LIBERAÇÃO RETARDADA;PRATI DONADUZZI;CX C/56 CP;56
1654;7897848502260;1476100250018;RANITIDINA 150 MG/10 ML 120 ML FR (G);"RANITIDINA 15 MG/ML XAROPE 120 ML + COPO DOSADOR

";NATIVITA;FR C/120 ML;1
1655;7896004703480;1023505640028;METILDOPA 250 MG CP (G);METILDOPA 250 MG VO CP ;EMS;CX C/30 CP;30
1734;7898569764517;1351700320066;NITAZOXANIDA 500 MG CP (G);NITAZOXANIDA 500 MG VO CP;ALTHAIA;CX C/6 CP;6
